"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2019","163.54","161.76","164.27","161.49","39.33M","0.79%"
"01/16/2019","162.26","162.54","163.69","162.20","33.81M","-0.02%"
"01/15/2019","162.29","159.89","162.51","159.83","40.87M","1.95%"
"01/14/2019","159.19","159.24","159.88","158.51","30.71M","-0.88%"
"01/11/2019","160.61","160.24","160.78","159.71","30.18M","-0.37%"
"01/10/2019","161.20","159.51","161.29","158.62","38.94M","0.29%"
"01/09/2019","160.74","160.07","161.44","159.39","46.49M","0.82%"
"01/08/2019","159.44","159.48","160.03","157.12","49.39M","0.91%"
"01/07/2019","158.01","156.46","158.78","156.03","52.06M","1.19%"
"01/04/2019","156.15","152.10","156.92","151.66","74.71M","4.28%"
"01/03/2019","149.74","152.52","153.18","149.41","74.82M","-3.27%"
"01/02/2019","154.80","150.91","155.67","150.80","58.58M","0.40%"
"12/31/2018","154.18","154.39","154.90","152.63","53.02M","0.84%"
"12/28/2018","152.89","153.93","155.51","151.64","77.86M","-0.05%"
"12/27/2018","152.97","150.49","153.10","147.00","85.82M","0.39%"
"12/26/2018","152.38","145.04","152.46","144.01","98.98M","6.25%"
"12/24/2018","143.42","146.06","147.90","143.38","56.16M","-2.76%"
"12/21/2018","147.49","152.98","154.01","146.64","141.13M","-3.10%"
"12/20/2018","152.21","154.08","155.79","150.31","99.00M","-1.45%"
"12/19/2018","154.45","158.16","160.64","153.26","81.86M","-2.46%"
"12/18/2018","158.34","158.59","159.87","156.96","63.64M","0.63%"
"12/17/2018","157.35","160.33","161.59","156.09","74.83M","-2.27%"
"12/14/2018","161.00","163.10","163.72","160.62","56.55M","-2.43%"
"12/13/2018","165.01","165.97","166.73","163.94","46.38M","0.03%"
"12/12/2018","164.96","165.97","167.51","164.87","53.78M","0.88%"
"12/11/2018","163.52","165.57","165.68","162.14","59.06M","0.33%"
"12/10/2018","162.98","161.03","163.69","159.33","73.96M","1.04%"
"12/07/2018","161.30","166.04","167.03","160.78","80.43M","-3.30%"
"12/06/2018","166.80","162.37","166.82","161.69","71.72M","0.71%"
"12/04/2018","165.63","171.29","171.82","165.43","70.59M","-3.84%"
"12/03/2018","172.24","173.01","173.22","169.42","50.77M","1.75%"
"11/30/2018","169.28","168.29","169.38","167.45","36.72M","0.73%"
